File,Loading,Get groups,Save groups,Frames,Groups
0,18.234238147735596,488.9726195335388,93.00467991828918,22539,348750
1,20.7201087474823,527.6945607662201,106.86330556869507,25076,378115
2,17.60570788383484,388.7295346260071,88.09467315673828,25288,303488
3,23.312235355377197,522.0434329509735,114.18164944648743,27182,390687
4,25.063660383224487,546.7455024719238,119.16380405426025,28582,402538
5,26.098697423934937,621.6057300567627,132.43882036209106,30308,455823
6,11.025755882263184,384.47995376586914,78.5308187007904,14459,257031
7,26.912373065948486,713.8613913059235,145.94394540786743,27331,482252
8,26.142635345458984,623.6328039169312,128.2490632534027,26717,436634
9,11.282650232315063,386.3903079032898,79.2250428199768,15103,258312
10,21.212858200073242,1637.880318403244,211.60278511047363,15277,658771
11,48.84134793281555,3058.297599554062,385.41033816337585,22939,1132881
12,49.086894035339355,2414.6555020809174,349.7748954296112,26760,1044990
13,47.1589150428772,2149.822594642639,324.1183753013611,27420,981609
14,18.387418746948242,465.1194109916687,103.39240002632141,18089,311143
15,18.431047201156616,472.5479106903076,103.25492668151855,23666,338052
16,20.388365745544434,462.32762122154236,100.2157530784607,22798,323650
17,11.345910549163818,255.3263177871704,57.50239300727844,14578,190895
18,22.248695611953735,447.42803406715393,108.5619945526123,24095,328294
19,22.683337211608887,592.7661330699921,127.82267785072327,25232,405639
20,23.407137632369995,494.35436844825745,105.35192632675171,25097,353430
21,10.306814908981323,367.8268721103668,72.18618965148926,13307,236204
22,24.47062921524048,756.5459530353546,136.90706610679626,23919,467065
23,22.023480892181396,690.6113665103912,136.33797574043274,24151,441012
24,114.34718155860901,7184.167170763016,755.7703795433044,29460,2019752
25,76.93545579910278,4826.666809082031,559.9736886024475,28014,1586031
26,47.66770935058594,1997.5665228366852,312.751042842865,30221,952640
27,42.73901343345642,1498.26265335083,262.6592116355896,31274,818651
28,36.78979992866516,1418.5468065738678,241.96692156791687,27985,756828
29,49.24472093582153,1722.6499853134155,282.37648272514343,30051,883030
30,41.18730115890503,1590.3999724388123,261.9990963935852,27951,808891
31,26.183729648590088,870.0243728160858,157.33406376838684,19433,490536
32,42.834144830703735,1528.8118476867676,245.01193165779114,27787,802434
33,34.279409408569336,1247.1191833019257,205.0014295578003,21104,636161
34,39.303388595581055,1229.6783919334412,220.24938678741455,27120,691465
35,56.66529321670532,1903.1623289585114,371.7819302082062,31038,952136
36,40.24187707901001,1234.57683634758,232.1856245994568,26868,692115
37,49.079243183135986,1556.9272420406342,259.1322090625763,28918,831446
38,45.36081290245056,1272.5471556186676,230.10939621925354,29760,727555
39,47.802268505096436,1472.8237285614014,250.99185848236084,29356,796159
40,45.76812791824341,1456.6969544887543,249.4639275074005,27965,778660
41,45.674214601516724,1631.3970324993134,263.86836075782776,26740,822853
42,45.23076057434082,1465.9983146190643,247.35977578163147,25457,755628
43,53.288180112838745,1637.310218334198,274.9814989566803,29382,851925
44,46.2358672618866,1559.6187126636505,303.70869183540344,27826,815693
45,60.271594285964966,2493.165320634842,359.57978892326355,29723,1090968
46,43.74416375160217,1769.657989025116,276.529150724411,25359,855185
47,51.23332452774048,1720.9250547885895,280.09900546073914,27878,870004
48,37.66244864463806,1306.4742922782898,226.2187180519104,25853,708397
49,42.11309051513672,1367.3942122459412,237.40328693389893,28388,755741
50,45.59535455703735,1427.8986723423004,256.14638113975525,27670,769398
51,36.8963828086853,1326.9256978034973,227.18187713623047,25230,712376
52,43.40421271324158,1684.4936845302582,268.076669216156,26454,839031
53,45.340704917907715,1468.955914735794,258.8394830226898,26775,774473
54,39.25600242614746,1399.6125934123993,236.81662273406982,26582,737339
55,30.852683544158936,1103.5868785381317,194.48576593399048,23754,610019
56,35.01131749153137,1093.456606388092,209.23226284980774,26582,639970
57,8.604846000671387,404.05198645591736,73.8840696811676,9729,233239
58,8.795104503631592,367.3378629684448,75.12641739845276,11362,231220
59,25.312133073806763,797.9553270339966,150.41669631004333,24022,500494
